COUNTY,timing,election_name,VOTER COUNT
COLLIN,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,14668
COLLIN,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,41671
COLLIN,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,22869
COLLIN,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,8545
COLLIN,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,40912
COLLIN,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,41564
COLLIN,EV,2020 NOVEMBER 3RD GENERAL ELECTION,451106
COLLIN,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,21052
COLLIN,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,59577
DALLAS,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,58263
DALLAS,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,58687
DALLAS,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,81065
DALLAS,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,94494
DALLAS,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,41090
DALLAS,EV,2020 NOVEMBER 3RD GENERAL ELECTION,780456
DALLAS,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,66690
DALLAS,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,46198
DENTON,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,12115
DENTON,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,38115
DENTON,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,15997
DENTON,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,10050
DENTON,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,33863
DENTON,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,41448
DENTON,EV,2020 NOVEMBER 3RD GENERAL ELECTION,384063
DENTON,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,16228
DENTON,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,55208
ELLIS,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,3055
ELLIS,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,12445
ELLIS,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,2797
ELLIS,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,4423
ELLIS,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,3756
ELLIS,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,12696
ELLIS,EV,2020 NOVEMBER 3RD GENERAL ELECTION,75129
ELLIS,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,2559
ELLIS,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,10624
HOPKINS,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,252
HOPKINS,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,3205
HOPKINS,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,316
HOPKINS,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,1209
HOPKINS,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,336
HOPKINS,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,2009
HOPKINS,EV,2020 NOVEMBER 3RD GENERAL ELECTION,12773
HOPKINS,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,200
HOPKINS,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,2933
HUNT,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,832
HUNT,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,8849
HUNT,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,671
HUNT,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,3741
HUNT,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,1091
HUNT,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,5505
HUNT,EV,2020 NOVEMBER 3RD GENERAL ELECTION,28099
HUNT,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,566
HUNT,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,5242
JOHNSON,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,1171
JOHNSON,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,9652
JOHNSON,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,1257
JOHNSON,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,2732
JOHNSON,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,8868
JOHNSON,EV,2020 NOVEMBER 3RD GENERAL ELECTION,60637
JOHNSON,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,1372
JOHNSON,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,12879
KAUFMAN,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,1478
KAUFMAN,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,6607
KAUFMAN,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,1678
KAUFMAN,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,4447
KAUFMAN,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,2435
KAUFMAN,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,8901
KAUFMAN,EV,2020 NOVEMBER 3RD GENERAL ELECTION,47894
KAUFMAN,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,1920
KAUFMAN,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,9374
ROCKWALL,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,1134
ROCKWALL,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,7767
ROCKWALL,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,1490
ROCKWALL,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,3500
ROCKWALL,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,2584
ROCKWALL,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,7184
ROCKWALL,EV,2020 NOVEMBER 3RD GENERAL ELECTION,47975
ROCKWALL,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,1680
ROCKWALL,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,11804
TARRANT,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,30412
TARRANT,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,68642
TARRANT,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,49010
TARRANT,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,19559
TARRANT,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,69649
TARRANT,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,68529
TARRANT,EV,2020 NOVEMBER 3RD GENERAL ELECTION,729557
TARRANT,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,35800
TARRANT,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,76094
